"DatumEntscheid","Gesuchssteller","Projekt","Foerderbereich","Foerderart","FoerderbeitragCHF"
2018-02-22,"Quartierverein Oberuster","Bachgassfest","Gemeinwesen","Projektbeitrag",5000
2018-02-22,"Verein OpenAir für Uster","H2U-Sessions Winter-Frühling 18","Konzert & Theater","Projektbeitrag",2000
2018-02-22,"Filacro","Kulturkaländer 2018","Konzert & Theater","Projektbeitrag",6000
2018-02-22,"Verein OpenAir für Uster","H2U OpenAir 2018","Konzert & Theater","Projektbeitrag",25000
2018-02-22,"must","Konzerte für Frühaufstehende","Konzert & Theater","Projektbeitrag",4000
2018-02-22,"Theater Synthese","«The Show Must Go On!“","Konzert & Theater","Projektbeitrag",3000
2018-02-22,"Qtopia","Kurzfilmnacht 2018","Film & Kino","Projektbeitrag",2500
2018-02-22,"Eos Guitar Quartet","Konzert 30-jähriges Jubiläum","Konzert & Theater","Projektbeitrag",4000
2018-02-22,"Kammerchor Uster","Konzert vom  24.11.2018","Konzert & Theater","Projektbeitrag",3000
2018-02-22,"ProIntegras","Theaterprojekt «Sturm“","Konzert & Theater","Projektbeitrag",2500
2018-02-22,"Künstlergruppe Uster","Ausstellung 2018","Bildende Kunst","Projektbeitrag",3000
2018-05-22,"Orgelfestival","Orgelfestival 2018","Konzert & Theater","Projektbeitrag",6000
2018-05-22,"Heinz Girschweiler","Biografie Dr. hc. Jakob Zollinger","Konzert & Theater","Projektbeitrag",1000
2018-05-22,"Quartierverein Winikon","Quartierfest 2018","Gemeinwesen","Projektbeitrag",500
2018-05-22,"Swissjazzorama","Veranstaltungen 2018","Konzert & Theater","Projektbeitrag",4000
2018-05-22,"Klassik im Rüden","Klassik im Schloss","Konzert & Theater","Projektbeitrag",2500
2018-05-22,"Freie Bühne Uster","Theater Die Heiratsvermittlerin","Konzert & Theater","Projektbeitrag",6000
2018-05-22,"Konzeptbox","TALK ABOUT Uster","Konzert & Theater","Projektbeitrag",3000
2018-05-22,"Zirkus Chnopf","Freilichtspektakel GUGUS","Konzert & Theater","Projektbeitrag",3000
2018-05-22,"Jazzclub","Konzert-Saison 2018/19","Konzert & Theater","Projektbeitrag",15000
2018-05-22,"Compagnie Stradini","Lampedame - Freilufttheater","Konzert & Theater","Projektbeitrag",1000
2018-06-05,"Zeughausfest","Konzert, Ausstellung","Zeughaus","Projektbeitrag",8897
2018-08-22,"Michael Wyss","Buchprojekt (Lyrikband)","Konzert & Theater","Projektbeitrag",1500
2018-08-22,"Kammerorchester Uster","Klassisches Sommerkonzert","Konzert & Theater","Projektbeitrag",1750
2018-08-22,"Trio Pegasus","Karussell (Konzerttitel)","Konzert & Theater","Projektbeitrag",1800
2018-08-22,"ACLI","Theater: Letto a due piezze","Konzert & Theater","Projektbeitrag",1200
2018-08-22,"Ensemble Fiorenza","Wiederaufnahme «Zikaden»","Konzert & Theater","Projektbeitrag",1000
2018-08-22,"must","Konzertwoche «must im Advent»","Konzert & Theater","Projektbeitrag",4000
2018-08-22,"insieme Zürcher Oberl.","«der Josa mit der Zauberfiedel»","Konzert & Theater","Projektbeitrag",2500
2018-08-22,"Topoï.log","un behaust – Brecht, Weill","Konzert & Theater","Projektbeitrag",2500
2018-08-22,"Stradis Orchester","Silvester- und Neujahrskonzerte","Konzert & Theater","Projektbeitrag",1500
2018-08-22,"Theater Kanton Zürich","Freilichttheater: Sommernachtstraum","Konzert & Theater","Projektbeitrag",5500
2018-08-22,"Theater Kanton Zürich","Freilichttheater: Kleider machen Leute","Konzert & Theater","Projektbeitrag",5500
2018-12-06,"Fotobüro Bern","fotoCH","Bildende Kunst","Projektbeitrag",500
2018-12-06,"Trigger Concert Big Band","Concert Big Band feat. Bert Joris – Portrait","Konzert & Theater","Projektbeitrag",1000
2018-12-06,"Nossiker Kulturhüsli","Konzert Duo Goran Kovacevic,","Konzert & Theater","Projektbeitrag",1800
2018-12-06,"Mundarte","Theaterstück «Mini Wohnig“","Konzert & Theater","Projektbeitrag",1200
2018-12-06,"Kammerorchester Uster","Klassisches Winterkonzert","Konzert & Theater","Projektbeitrag",4000
